"Timestamp","Currency Pair","Change Status","Tweet status","Tweet content"
"2021-04-10 12:42:35.083876","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:35.629462","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:36.127946","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:36.699101","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:37.272264","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:37.794115","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:38.334985","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:38.912818","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:39.483763","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:40.046322","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:40.558344","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:41.103639","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:41.660087","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:42.194186","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:42.739481","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:43.289598","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:43.817048","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:44.351946","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:44.881350","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:45.445521","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:45.972756","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:46.564212","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:47.087447","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:47.620475","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:48.131797","COMP-USDC","No change","No tweet","None"
"2021-04-10 12:42:48.676948","USDT-USDC","No change","No tweet","None"
"2021-04-10 12:42:49.223121","COMP-USDC","No change","No tweet","None"
