"Timestamp","Currency Pair","Change Status","Tweet status"
"2021-04-11 01:30:19.026845","WETH-USDC","Change Detected","Tweeted"
"2021-04-11 01:30:20.373289","COMP-USDC","ERROR","ERROR"
"2021-04-11 01:30:21.745688","WBTC-USDC","ERROR","ERROR"
"2021-04-11 01:30:23.197624","USDT-USDC","Change Detected","Tweeted"
"2021-04-11 01:30:25.919008","COMP-USDC","ERROR","ERROR"
"2021-04-11 01:30:27.315191","WBTC-USDC","ERROR","ERROR"
"2021-04-11 01:30:31.399741","COMP-USDC","ERROR","ERROR"
"2021-04-11 01:30:32.730076","WBTC-USDC","ERROR","ERROR"
"2021-04-11 01:30:36.817652","COMP-USDC","ERROR","ERROR"
"2021-04-11 01:30:38.212218","WBTC-USDC","ERROR","ERROR"
